,Vendor,Model Number,Notes,Location,TR Owned / Vendor Loan,Loan Date,Due Back,Returned,Loan Contact,Customer,Shipped,Tracking,Notes
,Lantronix,SISPM1040-3248-L3,Rack Mount (16) 10/100/1000Base-T PoE+ Ports + (4) 100/1000Base-X SFP Slots + (2) 1G/10GBase-X SFP+ Slots,Mike's,TR Owned,,,,,,,,
,Lantronix,SISPM1040-3166-L,Rack Mount (16) 10/100/1000Base-T PoE+ Ports + (4) 100/1000Base-X SFP Slots + (2) 1G/10GBase-X SFP+ Slots,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.0,TBBAD1044176,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.1,TBBAD1044328,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-4GC-LV V1.0.2,TBBAD1044277,Josh's,TR Owned,,,,,,,,
,Moxa,EDS-4012-8P-4GS-LVB,TBBED1115938,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2205,2036252283,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL Switch 2208,2702327,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XB213-3,,Mike's,Returned,6/22/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,Scalance XB205-3,,Mike's,Returned,6/22/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,Scalance XM408-4C,,Mike's,Returned,6/8/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Siemens,C-Plug,,Josh's,Returned,10/18/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Red Lion / Ntron,NT-5006,YU03MAR1966805,Josh's,TR Owned,,,,,,,,
,Red Lion / Ntron,NT24K-8TX,819294021352,Josh's,TR Owned,,,,,,,,
,Salz,4008GT,8x10/100/1000 TX SN:8259,Mike's,TR Owned,,,,,,,,
,Siemens,Scalance XB208,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XC216-4C G,,Riley's,Loaned Out,4/1/2025,,,Riley Engle,,,,
,Siemens,Scalance XC332,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance XC208G PoE,"Died, Mike Killed it. Sent back to Siemens.",Mike's,TR Owned,,,,,,,,
,Siemens,Scalance XM416-4C,,Josh's,TR Owned,,,,,,,,
,WAGO,852-111,,Vy's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,Teltonika,TSW212,,Josh's,TR Owned,,,,,,,,
,WAGO,852-1305,0030DE4412DE,Josh's,TR Owned,,,,,,,,
,WAGO,852-1305,0030DE44105A,Josh's,TR Owned,,,,,,,,
,WAGO,852-1322,,Vy's,TR Owned,,,,,,,,
,WAGO,852-1322,,Vy's,TR Owned,,,,,,,,
,Hirschmann,BRS50,BOBCAT Rail Switch,INS,Vendor Loan,7/6/2021,7/6/2021,,Ravi Chhabra,INS,,,
,Hirschmann,RSP35,Rail Switch,INS,Vendor Loan,7/6/2021,7/6/2021,,Ravi Chhabra,INS,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421A7,Josh's,TR Owned,,,,,,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421A9,Josh's,TR Owned,,,,,,,,
,Wago,LMS: 852-1812,MAC: 0030DE4421E3,Josh's,TR Owned,,,,,,,,
,Westermo,RedFox RFI-211-F4G-T7G,,Josh's,TR Owned,,,,,,,,
,Westermo,TX100 Copper SFP x 4,,Josh's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:132179,Mike's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:131490,Josh's,TR Owned,,,,,,,,
,Westermo,L210-F2G-12 VDC,SN:131492,Josh's,TR Owned,,,,,,,,
,Westermo,Lynx-3510-E-F2G-P8G-LV,SN: 001760,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
WIFI,,,,,,,,,,,,,
,Fortinet,FAP-431F-A,FortiAP 431F,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,2035365649,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 2101,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL WLAN 4321,,Redwood Materials,TR Owned,4/1/2021,,,Alicia Lomas,Redwood Materials,,,
,Ubiquiti,Bullet AC,w/ Omni Antenna,Josh's,TR Owned,,,,,,,,
,Ubiquiti,LiteBeam AC Gen2,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,LiteBeam AC Gen2,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,NanoStation AC Loco,,Josh's,TR Owned,,,,,,,,
,Ubiquiti,PoE Adapter,"24V, 0.5A POE Addapter",Josh's,TR Owned,,,,,,,,
,Ubiquiti,PoE Adapter,,Josh's,TR Owned,,,,,,,,
,WAGO,758-919,A04DB19C,Josh's,TR Owned,,,,,,,,
,WAGO,758-919,A04DB174,Josh's,TR Owned,,,,,,,,
,Antaira,AMS-2111,100103318090882,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiAP 23JF,SN:FP23JFTF21002712,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Fortinet,FortiAP 224E Outdoor,SN:FP224E5J20000270,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Fortinet,FortiAP 224E Outdoor,SN:FP224E5J20001046,Mike's,Returned,1/20/2022,??,,Michael Mayerich,NOV,,,
,Antaira,ARS-7235-AC,100003318270627,Josh's,TR Owned,,,,,,,,
,TP Link,Omada AC1200,Indoor/Outdoor Access Point,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Routers / Firewall / Sec / Remote Access,,,,,,,,,,,,,
,Allen Bradley,1783-NATR,,Josh's,TR Owned,media room on din rack,,,,,,,
,Bayshore,SCADAfuse,,Josh's,Vendor Loan,??,??,,,,,,
,Check Point,1570R,,,Vendor Loan,10/16/2021,30 days,,Chris Masopust,,,,
,Belden,IAF-240 - Essential,,Josh's,TR Owned,,,,,,,,
,Cisco,ISA-3000-4C-K9,Serial: FCH2524L0W7,Josh's,TR Owned,1/24/2022,,,,,,,
,Dynics,ICS Defender Mini,,Josh's,Vendor Loan,7/13/2021,60 days,,Jeff Smith,,,,
,Dynics,ICS Defender Nano,,Tony Turner,Loaned Out,7/9/2025,,,,,,,
,Dynics,ICS Defender Pico,,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiGate FGR-60F,,Josh's,TR Owned,,,,Dennis Distler,,,,
,Fortinet,FortiGate FGR-70F,,Josh's,TR Owned,,,,,,,,
,Fortinet,FortiGate FG-60F,,Mike's,TR Owned,,,,,,,,
,Fortinet,FortiGate FG-60F,,Mike's,TR Owned,,,,,,,,
,Hirschmann,Eagle40-4F SECURITY,"MAC: A0B086FE6C44 Modbus, EIP, OPC, DNP3, IEC104, AMP",Tony Turner,Loaned Out,7/9/2025,,,,,,,
,Hirschmann,Eagle40-3TX,"942 300-001 EAGLE40-033T1SCCY9HSRANFXX.X.X
X (no DPI)",Josh's,TR Owned,,,,,,,,
,Hirschmann,Eagle40072O6ECCB9HSRAUN04.400-NT,Universal Protection Suite (FULL DPI),Josh's,Vendor Loan,10/6/2023,Asked 10/20 no response,,,,,,
,Hirschmann,OpEdge-8D,942 330-001,Josh's,TR Owned,,,,,,,,
,Ixon,IX Router,,Josh's,TR Owned,,,,,,,,
,Ixon,SecureEdge Pro 4G/LTE & Wi-Fi,,Mike's,,,,,,,,,
,Moxa,EDR-G9010-VPN-2MGSFP,TBAIB1134577,Josh's,TR Owned,,,,,,,,
,Moxa,EDR-8010-VPN-2GSFP,TBCIB1153056,Tony Turner,Loaned Out,7/9/2025,,,,,,,
,Moxa,NAT-102,SN ending in 7360,Mike's,TR Owned,,,,,,,,
,Moxa,NAT-102,SN ending in 7400,Josh's,TR Owned,,,,,,,,
,Peplink,Balance 305,,Mike's,TR Owned,,,,,,,,
,Peplink,Balance 380,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL NAT 2008,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,mGuard FL mGuard 4302,,Josh's,???,9/22/2023,,,Gus Vargas,,,,
,Phoenix Contact,mGuard FL mGuard 1102,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,mGuard rs2000 TX/TX VPN,2034822178,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,mGuard rs4000 TX/TX-P,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance S615,,-,Returned,6/8/2021,,,Ryan Speed,Siemens,11/18/2021,1Z420V944301387421,Mike - Shipped 
,Phoenix Contact,mGuard FL mGuard 4305,,Josh's,TR Owned,,,,,,,,
,Siemens,Scalance SC646-2C,,Josh's,TR Owned,,,,,,,,
,Tosibox,Lock 500,,Mike's,TR Owned,1/24/2022,,,,,,,
,Tosibox,TBK2 Hardware Key,Key 44675 PUK 7TRmrytY,Mike's,TR Owned,1/24/2022,,,,,,,
,TXOne Networks,EdgeIPS103,,Josh's,Vendor Loan,9/5/2023,3 months?,,,,,,
,UBNT,ER-12 EdgeRouter12,,Josh's,TR Owned,1/24/2022,,,,,,,
,Red Lion,DA 4G LTE CAT4 Sled DAS00CL9C4SVZ000,SN: YU07MAR2300075 / IMEI: 358148062854836,TAS - Matt Benedict,Loaned Out,4/22/2025,5/22/2025,,Matt Benedict,TAS,4/22/2025,https://www.ups.com/track?loc=en_US&tracknum=1Z420V940339401436,
,Red Lion,DA Ethernet Sled,SN:YU22MAR240050,Josh's,TR Owned,3/11/2024,,,Caleb Wilson,RMMC,3/11/2024,1Z420V940303108197,
,Red Lion ,DA70A,SN:YU01MAY2300068,TAS - Matt Benedict,Loaned Out,4/22/2025,5/22/2025,,Matt Benedict,TAS,4/22/2025,https://www.ups.com/track?loc=en_US&tracknum=1Z420V940339401436,
,Secomea,SM3549,3549:00:C0:A2:06:99:78,Mike's,TR Owned,,,,,,,,
,Weidmuller ,IE-SR-4GT,,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
Cellular,,,,,,,,,,,,,
,Fortinet,FEX-211E,FortiExtender-211E,Josh's,TR Owned,,,,,,,,
,Peplink,Balance 20x,192C-9AC4-193B,Doug's,Loaned Out,4/1/2025,,,Doug Miller,,,,
,Peplink,MAX-BR1-MINI-LTEA-W  HWv1,2936-4AF4-6285,Doug's,Loaned Out,4/1/2025,,,Doug Miller,,,,
,Lantronix,NTC-500,,Storage,TR Owned,,,,,,,,
,,,,,,,,,,,,,
Computers,,,,,,,,,,,,,
,Advantech,UNO-127 IPC,,Mike's,TR Owned,,,,,,,,
,Advantech,UNO-127 IPC,,Josh's,TR Owned,,,,,,,,
,Advantech,2271G,,Josh's,TR Owned,,,,,,,,
,Advantech,2271G,,Josh's,TR Owned,,,,,,,,
,Compulab,Fitlet2/3??,,Josh's,,,,,,,,,
,Intel,"NUC Skull Canyon i7, 32GB Ram, 512GB SSD",Mikes Work Desktop,Mike's,TR Owned,,,,,,,,
,GPA (Qotom),Mini Computer,Q190G4N,???,Vendor Loan,,,,,,,,
,Moxa,MC-1200,,James,Vendor Loan,8/24/2020,,,,Moxa,,,
,Moxa,UC-8100,,James,TR Owned,8/24/2020,,,,,,,
,Moxa,V2201-E4-T,TAICE1073338,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,BL2 BPC 1541E-8/128-W10,IP30-rated fanless industrial box PC (BPC) with energy-efficient Intel® Atom® E3940 processor with 128 GB eMMC and Windows 10 Enterprise 2019 LTSC operating system.,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,VL3 UPC,,Josh's,TR Owned,,,,,,,,
,Lenovo,Ideapad,TRLAB-A Laptop,Storage,TR Owned,,,,,,,,
,Lenovo,Ideapad,TRLAB-A Laptop,Storage,TR Owned,,,,,,,,
,,,,,,,,,,,,,
Device Servers / IO,,,,,,,,,,,,,
,Moxa,ioThinx 4510,,James,TR Owned,,,,,,,,
,Moxa,ioThinx 4533 + IO,w/digital card,James,TR Owned,8/24/2020,,,,,,,
,Moxa,45MR-3800 (ioThinx Card),,James,TR Owned,,,,,,,,
,Moxa,45MR-2606 (ioThinx Card),,James,TR Owned,,,,,,,,
,Moxa,MGate MB3170,,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,AI x 4 (4-20 mA),1088062,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,AO,,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,Axioline Carrier 4 bay,,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,DI,,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,DO,,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,EIP Bus Coupler,2702782,Andrew's,TR Owned,,,,,,,,
,Phoenix Contact,Modbus TCP Bus Coupler,,Andrew's,TR Owned,,,,,,,,
,ODOT,B32 BN-8032,Profinet,Josh's,TR Owned,,,,,,,,
,ODOT,BT-124F,16 DI 24VDC,Josh's,TR Owned,,,,,,,,
,ODOT,BT-222F,16 DO 24VDC,Josh's,TR Owned,,,,,,,,
,ODOT,B32 BN-8034,EIP,Tim Wilborne's,TR Owned,,,,,,,,
,ODOT,BT-3244,4 AI,Tim Wilborne's,TR Owned,,,,,,,,
,ODOT,BT-4234,4 AO,Tim Wilborne's,TR Owned,,,,,,,,
,ODOT,BT-3244,4 AI (spare module avilable to swap),Josh's,TR Owned,,,,,,,,
,ODOT,B64 BN-8031,Modbus TCP,Josh's,TR Owned,,,,,,,,
,ODOT,BT-3238,8 AI,Josh's,TR Owned,,,,,,,,
,ODOT,BT-4234,4 AO,Josh's,TR Owned,,,,,,,,
,ODOT,BT-623F,8 DI / 8 DO,Josh's,TR Owned,,,,,,,,
,ODOT,CN-8031,Modbus TCP,Josh's,TR Owned,,,,,,,,
,ODOT,CN-8032-L,Profinet,Josh's,TR Owned,,,,,,,,
,ODOT,CN-8034,EIP,Josh's,TR Owned,,,,,,,,
,ODOT,CT-121F,16 DI 24VDC,Josh's,TR Owned,,,,,,,,
,ODOT,CT-222F,16 DO 24VDC,Josh's,TR Owned,,,,,,,,
,ODOT,CT-2718,8 Relay Output,Josh's,TR Owned,,,,,,,,
,ODOT,CT-3238,8 AI,Josh's,TR Owned,,,,,,,,
,ODOT,CT-4234,4 AO,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,2702764,GW Modbus TCP/RTU 1E/1DB9,Josh's,TR Owned,,,,,,,,
,,,,,,,,,,,,,
Misc.,,,,,,,,,,,,,
,Allen-Bradley,Stratix 5400,1783-HMS4EG8CGN,Mike's,Returned,??,??,,Brian Kelley,Vanderlande,11/09/21,1Z420V944329971372,Mike - shipped back
,aparian,DHCP Manager,Ethernet IP gateway,Mike's,Customer Loan,??,??,,Brian Kelley,Vanderlande,,,
,Beijer,BoX2 Extreme,,Andrew's,Vendor Loan,11/1/2021,no time limit,,Todd Nazario,Beijer,,,
,Mean Well PS,EDR-120-24,120AC-24VDC 2.5A,Mike's,TR Owned,,,,,,,,
,Mean Well PS,EDR-120-24,120AC-24VDC 5A,Andrew's,TR Owned,,,,,,,,
,Mean Well PS,EDR-120-24,120AC-24VDC 5A,Mike's,TR Owned,,,,,,,,
,Mean Well PS,EDR-120-24,120AC-24VDC 5A,Josh's,TR Owned,,,,,,,,
,Mean Well PS,EDR-120-24,120AC-24VDC 5A,Josh's,TR Owned,,,,,,,,
,Mean Well PS,NDR-240-48,120AC-48VDC,Josh's,TR Owned,,,,,,,,
,Mean Well PS,NDR-240-48,120AC-48VDC / Gifted by Transition Networks,Josh's,TR Owned,,,,,,,,
,Mean Well PS,HDR-30-12,120AC-12VDC 2A / Gifted by Transition Networks,Josh's,TR Owned,,,,,,,,
,Mean Well PS,HDR-30-12,120AC-12VDC 2A / Gifted by Transition Networks,Josh's,TR Owned,,,,,,,,
,Nord,VFD,,,Returned,??,??,,Brian Kelley,Vanderlande,01/24/2022,,
,Nord,VFD,,,Returned,??,??,,Brian Kelley,Vanderlande,,,
,Nord,VFD,,,Returned,??,??,,Brian Kelley,Vanderlande,,,
,Nord,VFP,,,Returned,??,??,,Brian Kelley,Vanderlande,11/09/21,1Z420V944329971372,Mike - shipped back
,Phoenix Contact,EEM-MA370 2907983,EMPro Energy Meter,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,FL TIMESERVER NTP,2035451615,Josh's,TR Owned,,,,,,,,
,Phoenix Contact,QUINT4-UPS/24DC/24DC/5/EIP,w/ Modbus TCP,Mike's,TR Owned,,,,,,,,
,Phoenix Contact,QUINT4-UPS/24DC/24DC/5/EIP,,James,TR Owned,,,,,,,,
,Phoenix Contact,UPS-BAT/VRLA/24DC/1.3AH,Lead Acid Battery,James,TR Owned,,,,,,,,
,Phoenix Contact,UPS-BAT/VRLA/24DC/1.3AH,Lead Acid Battery,Mike's,TR Owned,,,,,,,,
,PLC Tools,Loop Simulator Pro,Simulates 4-20 and 0-10,Mike's,TR Owned,,,,,,,,
,PLC Tools,Loop Simulator Pro,Simulates 4-20 and 0-10,Josh's,TR Owned,,,,,,,,
,Procentec,Atlas,Multi Protocol Network Monitor,Mike's,Returned,??,??,,Brian Kelley,Vanderlande,11/09/21,1Z420V944329971372,Mike - shipped back
,Procentec,EtherTAP,10/100 USB 3.0,Brian,Returned,NA,NA,,Brian Kelley,Vanderlande,4/21/21,1Z420V944312915366,mike- shipped Ethertap to Grant
,Puls PS,CS5,120AC-24VDC,Josh's,TR Owned,,,,,,,,
,Rockwell,PLC Case,,Davide Pascucci / BrightIIoT,Returned,??,??,,Brian Kelley,Vanderlande,11/09/21,1Z420V944337580761,Mike shipped back the case
,Sola,SPD 2-12-100T,120AC-12VDC,Mike's,TR Owned,,,,,,,,
,Wago,,,Josh's,TR Owned,,,,,,,,
,WAGO,2789-9080,Communication module; IO-Link; communication capability,Josh's,TR Owned,,,,,,,,
,WAGO,289-196,Passive PoE-injector,Josh's,TR Owned,,,,,,,,
,WAGO,289-196,Passive PoE-injector,Josh's,TR Owned,,,,,,,,
,WAGO,787-1012,120AC 24 VDC 2.5A,Josh's,TR Owned,,,,,,,,
,FS,FSbox,,Mike's,TR Owned,,,,,,,,
,FS,FSbox,,Josh's,,,,,,,,,
,FS,11773,1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,11773,1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,11773,1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,11773,1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,34976,10/100/1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,34976,10/100/1000Base-T SFP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,FS,75795,1000Base-SX SFP 1310nm 2km DOM LC MMF,Josh's,TR Owned,,,,,,,,
,FS,75795,1000Base-SX SFP 1310nm 2km DOM LC MMF,Josh's,TR Owned,,,,,,,,
,FS,48929,1000Base-LX/LH SFP 1310nm 20km LC SMF,Josh's,TR Owned,,,,,,,,
,FS,48929,1000Base-LX/LH SFP 1310nm 20km LC SMF,Josh's,TR Owned,,,,,,,,
,FS,Fitlet2,1000Base-LX/LH SFP 1310nm 20km LC SMF,Josh's,TR Owned,1/20/2022,??,,Michael Mayerich,NOV,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,11775,1000BASE-LX/LH SFP 1310nm 10km DOM LC SMF,Josh's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310nm 2Km Industrial,Mike's,TR Owned,,,,,,,,
